case_id,case_number,subject,description,type,status,reason,priority,origin,contact_id,account_id,owner_id,parent_case_id,product_id,asset_id,is_closed,closed_date,is_escalated,sla_start_date,sla_exit_date,is_stopped,stop_start_date,is_closed_on_create,sla_violation,potential_liability,engineering_req_number,product_name,events_processed_date,created_date,last_modified_date,system_modstamp
500Hp00001dGBnhIAG,00001001,Performance inadequate for second consecutive week,,Electrical,Closed,Performance,High,Phone,003Hp00002pTA6wIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,Yes,Yes,767145,GC1060,2025-04-08 17:54:03,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBniIAG,00001000,Starting generator after electrical failure,,Electrical,Closed,Equipment Complexity,High,Phone,003Hp00002pTA6fIAG,001Hp00002g1VGbIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,765876,GC5040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnjIAG,00001002,Seeking guidance on electrical wiring installation for GC5060,,Electrical,New,Installation,Low,Web,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,,0,,,0,,0,No,No,,GC3060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnkIAG,00001003,Easy installation process,,Other,Closed,Installation,Low,Web,003Hp00002pTA6oIAG,001Hp00002g1VGhIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,,GC1020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnlIAG,00001004,Maintenance guidelines for generator unclear,,Other,Closed,Other,Medium,Phone,003Hp00002pTA6oIAG,001Hp00002g1VGhIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,784532,GC5020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnmIAG,00001005,Electrical circuit malfunctioning,,Electrical,Closed,Performance,Medium,Phone,003Hp00002pTA6pIAG,001Hp00002g1VGhIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,Yes,653780,GC1060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnnIAG,00001006,Generator assembly instructions unclear,,Other,Closed,Feedback,Low,Phone,003Hp00002pTA6vIAG,001Hp00002g1VGlIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,253574,GC1020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnoIAG,00001007,Structural breakdown of rotor assembly,,Structural,Closed,Breakdown,Medium,Phone,003Hp00002pTA6kIAG,001Hp00002g1VGfIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,835735,GC1040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnpIAG,00001008,Customer service for portable generators needs beefing up,,Other,Closed,Feedback,Low,Web,003Hp00002pTA6kIAG,001Hp00002g1VGfIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,,GC1020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnqIAG,00001009,Mechanical maintenance guidelines for generator misleading,,Mechanical,Closed,Other,Medium,Phone,003Hp00002pTA6sIAG,001Hp00002g1VGjIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,Yes,365782,GC3040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnrIAG,00001010,Maintenance guidelines for generator unclear,,Other,Closed,Feedback,Low,Web,003Hp00002pTA6tIAG,001Hp00002g1VGkIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,658733,GC1060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnsIAG,00001011,Electronic panel fitting loose,,Electronic,Closed,Equipment Design,Medium,Web,003Hp00002pTA6uIAG,001Hp00002g1VGkIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,965884,GC3020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBntIAG,00001012,Repeated motor breakdown while shutting off,,Electrical,Closed,Breakdown,Medium,Web,003Hp00002pTA6qIAG,001Hp00002g1VGiIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,Yes,Yes,347209,GC1020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnuIAG,00001013,Starting up generator consumes excessive power,,Other,Closed,Equipment Design,Medium,Web,003Hp00002pTA6lIAG,001Hp00002g1VGfIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,654623,GC5020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnvIAG,00001014,Delay in installation; spare parts unavailable,,Other,Closed,Installation,High,Phone,003Hp00002pTA6lIAG,001Hp00002g1VGfIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,Yes,,GC3020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnwIAG,00001015,Frequent mechanical breakdown,,Mechanical,Closed,Breakdown,Medium,Web,003Hp00002pTA6uIAG,001Hp00002g1VGkIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,Yes,354982,GC3060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnxIAG,00001016,Maintenance guidelines for generator unclear,,Other,New,Feedback,Low,Web,003Hp00002pTA6vIAG,001Hp00002g1VGlIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,,0,,,0,,0,No,No,651375,GC5020,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnyIAG,00001017,Shutting down of generator,,Mechanical,Closed,Equipment Complexity,Medium,Web,003Hp00002pTA6gIAG,001Hp00002g1VGbIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,736734,GC1040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBnzIAG,00001018,Cannot start generator after electrical failure,,Electrical,Closed,Equipment Complexity,Medium,Phone,003Hp00002pTA6gIAG,001Hp00002g1VGbIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,526714,GC1040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo0IAG,00001019,Structural failure of generator base,,Structural,Closed,Equipment Design,High,Web,003Hp00002pTA6hIAG,001Hp00002g1VGcIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,Yes,636265,GC5060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo1IAG,00001020,Power generation below stated level,,Electrical,Closed,Performance,Medium,Phone,003Hp00002pTA6hIAG,001Hp00002g1VGcIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,Yes,237645,GC3060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo2IAG,00001021,Generator GC3060 platform structure is weakening,,Structural,Closed,Installation,High,Phone,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,,Yes,435143,GC3060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo3IAG,00001022,Signal panel on GC5060 blinks intermittently,,Electronic,Closed,Performance,Medium,Web,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,456345,GC5060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo4IAG,00001023,Electric surge damaging adjacent equipment,,Electrical,Closed,Other,High,Phone,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,265794,GC5060,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo5IAG,00001024,Design issue with mechanical rotor,,Mechanical,New,Equipment Design,Low,Web,003Hp00002pTA6nIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,,0,,,0,,0,No,No,868314,GC3040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
500Hp00001dGBo6IAG,00001025,Motor design hindering performance,,Electrical,Closed,Equipment Design,Medium,Phone,003Hp00002pTA6nIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,000000000000000AAA,000000000000000AAA,000000000000000AAA,1,2022-09-09,0,,,0,,1,No,No,572546,GC5040,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
