opportunity_id,opportunity_name,description,account_id,contact_id,campaign_id,owner_id,stage_name,stage_sort_order,forecast_category,forecast_category_name,is_closed,is_won,amount,probability,expected_revenue,total_opportunity_quantity,close_date,last_stage_change_date,last_activity_date,fiscal_year,fiscal_quarter,type,lead_source,next_step,has_opportunity_line_item,is_private,delivery_installation_status,tracking_number,order_number,current_generators,main_competitors,created_date,last_modified_date,system_modstamp
006Hp000015Yh7kIAC,Dickenson Mobile Generators,,001Hp00002g1VGeIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Qualification,2,Pipeline,Pipeline,0,0,15000,10,1500,,2023-09-06 00:00:00,,,2015,1,New Customer,Purchased List,,,0,,,,,Honda,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7lIAC,United Oil SLA,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,120000,100,120000,,2023-10-16 00:00:00,,,2015,2,Existing Customer - Upgrade,Partner,,,0,In progress,,926363,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7mIAC,United Oil Office Portable Generators,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Negotiation/Review,8,Pipeline,Pipeline,0,0,125000,90,112500,,2023-08-25 00:00:00,,,2015,1,Existing Customer - Upgrade,,,,0,,,,Yamaha,Yamaha,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7nIAC,GenePoint Standby Generator,,001Hp00002g1VGlIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,85000,100,85000,,2023-08-28 00:00:00,,,2015,1,New Customer,Partner,,,0,Completed,830150301420,908676,Honda,Honda,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7oIAC,United Oil Refinery Generators,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Proposal/Price Quote,7,Pipeline,Pipeline,0,0,270000,75,202500,,2023-10-09 00:00:00,,,2015,2,Existing Customer - Upgrade,,,,0,Yet to begin,,,Caterpillar,John Deere,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7pIAC,Express Logistics Standby Generator,,001Hp00002g1VGhIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,220000,100,220000,,2023-07-21 00:00:00,,,2015,1,New Customer,Trade Show,,,0,,830150301420,653276,Hawkpower,Fujitsu,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7qIAC,Grand Hotels Kitchen Generator,,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Id. Decision Makers,5,Pipeline,Pipeline,0,0,15000,60,9000,,2023-07-16 00:00:00,,,2015,1,Existing Customer - Upgrade,,,,0,Yet to begin,,,John Deere,"Fujitsu, Hawkpower",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7rIAC,Grand Hotels Guest Portable Generators,,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Value Proposition,4,Pipeline,Pipeline,0,0,250000,50,125000,,2023-10-24 00:00:00,,,2015,2,Existing Customer - Upgrade,Employee Referral,,,0,Yet to begin,,,Honda,Honda,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7sIAC,Edge Emergency Generator,,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,75000,100,75000,,2023-10-24 00:00:00,,,2015,2,New Customer,Word of mouth,,,0,Completed,830150301420,731645,John Deere,John Deere,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7tIAC,University of AZ Portable Generators,,001Hp00002g1VGiIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,50000,100,50000,,2023-07-25 00:00:00,,,2015,1,New Customer,Public Relations,,,0,Completed,830150301360,768934,Mitsubishi,"Honda, Mitsubishi",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
