pricebook_entry_id,pricebook_id,product_id,unit_price,use_standard_price,is_active,is_archived,created_date,last_modified_date,system_modstamp
01uHp00000Pok4xIAB,01sHp000009XyZ4IAK,01tHp000009xIetIAE,25000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok4yIAB,01sHp000009XyZ4IAK,01tHp000009xIeuIAE,5000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok4zIAB,01sHp000009XyZ4IAK,01tHp000009xIevIAE,85000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok50IAB,01sHp000009XyZ4IAK,01tHp000009xIewIAE,20000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok51IAB,01sHp000009XyZ4IAK,01tHp000009xIexIAE,50000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok52IAB,01sHp000009XyZ4IAK,01tHp000009xIeyIAE,40000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok53IAB,01sHp000009XyZ4IAK,01tHp000009xIezIAE,15000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok54IAB,01sHp000009XyZ4IAK,01tHp000009xIf0IAE,120000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok55IAB,01sHp000009XyZ4IAK,01tHp000009xIesIAE,100000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok56IAB,01sHp000009XyZ4IAK,01tHp000009xIf1IAE,10000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok57IAB,01sHp000009XyZ4IAK,01tHp000009xIf2IAE,75000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok58IAB,01sHp000009XyZ4IAK,01tHp000009xIf3IAE,5000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok59IAB,01sHp000009XyZ4IAK,01tHp000009xIf4IAE,30000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5AIAR,01sHp000009XyZ4IAK,01tHp000009xIf5IAE,35000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5BIAR,01sHp000009XyZ4IAK,01tHp000009xIf6IAE,20000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5CIAR,01sHp000009XyZ4IAK,01tHp000009xIf7IAE,150000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5DIAR,01sHp000009XyZ4IAK,01tHp000009xIf8IAE,50000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5EIAR,01sHp000009XyZ5IAK,01tHp000009xIetIAE,25000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5FIAR,01sHp000009XyZ5IAK,01tHp000009xIeuIAE,5000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5GIAR,01sHp000009XyZ5IAK,01tHp000009xIevIAE,85000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5HIAR,01sHp000009XyZ5IAK,01tHp000009xIewIAE,20000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5IIAR,01sHp000009XyZ5IAK,01tHp000009xIexIAE,50000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5JIAR,01sHp000009XyZ5IAK,01tHp000009xIeyIAE,40000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5KIAR,01sHp000009XyZ5IAK,01tHp000009xIezIAE,15000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5LIAR,01sHp000009XyZ5IAK,01tHp000009xIf0IAE,120000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5MIAR,01sHp000009XyZ5IAK,01tHp000009xIesIAE,100000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5NIAR,01sHp000009XyZ5IAK,01tHp000009xIf1IAE,10000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5OIAR,01sHp000009XyZ5IAK,01tHp000009xIf2IAE,75000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5PIAR,01sHp000009XyZ5IAK,01tHp000009xIf3IAE,5000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5QIAR,01sHp000009XyZ5IAK,01tHp000009xIf4IAE,30000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5RIAR,01sHp000009XyZ5IAK,01tHp000009xIf5IAE,35000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5SIAR,01sHp000009XyZ5IAK,01tHp000009xIf6IAE,20000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5TIAR,01sHp000009XyZ5IAK,01tHp000009xIf7IAE,150000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
01uHp00000Pok5UIAR,01sHp000009XyZ5IAK,01tHp000009xIf8IAE,50000,0,1,0,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
