case_id,isdeleted,masterrecordid,casenumber,contactid,accountid,assetid,productid,entitlementid,sourceid,businesshoursid,parentid,suppliedname,suppliedemail,suppliedphone,suppliedcompany,type,status,reason,origin,subject,priority,description,isclosed,closeddate,isescalated,ownerid,isclosedoncreate,slastartdate,slaexitdate,isstopped,stopstartdate,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,servicecontractid,eventsprocesseddate,engineeringreqnumber__c,slaviolation__c,product__c,potentialliability__c
500Hp00001dGBnhIAG,0,,00001001,003Hp00002pTA6wIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Performance,Phone,Performance inadequate for second consecutive week,High,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,2025-04-08 17:54:03,767145,Yes,GC1060,Yes
500Hp00001dGBniIAG,0,,00001000,003Hp00002pTA6fIAG,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Equipment Complexity,Phone,Starting generator after electrical failure,High,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,765876,No,GC5040,No
500Hp00001dGBnjIAG,0,,00001002,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,New,Installation,Web,Seeking guidance on electrical wiring installation for GC5060,Low,,0,,0,005Hp00000hnUYPIA2,0,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,No,GC3060,No
500Hp00001dGBnkIAG,0,,00001003,003Hp00002pTA6oIAG,001Hp00002g1VGhIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Installation,Web,Easy installation process,Low,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,No,GC1020,No
500Hp00001dGBnlIAG,0,,00001004,003Hp00002pTA6oIAG,001Hp00002g1VGhIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Other,Phone,Maintenance guidelines for generator unclear,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,784532,No,GC5020,No
500Hp00001dGBnmIAG,0,,00001005,003Hp00002pTA6pIAG,001Hp00002g1VGhIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Performance,Phone,Electrical circuit malfunctioning,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,653780,No,GC1060,Yes
500Hp00001dGBnnIAG,0,,00001006,003Hp00002pTA6vIAG,001Hp00002g1VGlIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Feedback,Phone,Generator assembly instructions unclear,Low,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,253574,No,GC1020,No
500Hp00001dGBnoIAG,0,,00001007,003Hp00002pTA6kIAG,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Structural,Closed,Breakdown,Phone,Structural breakdown of rotor assembly,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,835735,No,GC1040,No
500Hp00001dGBnpIAG,0,,00001008,003Hp00002pTA6kIAG,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Feedback,Web,Customer service for portable generators needs beefing up,Low,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,No,GC1020,No
500Hp00001dGBnqIAG,0,,00001009,003Hp00002pTA6sIAG,001Hp00002g1VGjIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Mechanical,Closed,Other,Phone,Mechanical maintenance guidelines for generator misleading,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,365782,No,GC3040,Yes
