opportunity_id,isdeleted,accountid,isprivate,name,description,stagename,stagesortorder,amount,probability,expectedrevenue,totalopportunityquantity,closedate,type,nextstep,leadsource,isclosed,iswon,forecastcategory,forecastcategoryname,campaignid,hasopportunitylineitem,pricebook2id,ownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastactivitydate,laststagechangedate,fiscalyear,fiscalquarter,contactid,primarypartneraccountid,contractid,lastamountchangedhistoryid,lastclosedatechangedhistoryid,deliveryinstallationstatus__c,trackingnumber__c,ordernumber__c,currentgenerators__c,maincompetitors__c
006Hp000015Yh7kIAC,0,001Hp00002g1VGeIAM,0,Dickenson Mobile Generators,,Qualification,2,15000,10,1500,,2023-09-06 00:00:00,New Customer,,Purchased List,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,,,,,Honda
006Hp000015Yh7lIAC,0,001Hp00002g1VGgIAM,0,United Oil SLA,,Closed Won,9,120000,100,120000,,2023-10-16 00:00:00,Existing Customer - Upgrade,,Partner,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,In progress,,926363,,
006Hp000015Yh7mIAC,0,001Hp00002g1VGgIAM,0,United Oil Office Portable Generators,,Negotiation/Review,8,125000,90,112500,,2023-08-25 00:00:00,Existing Customer - Upgrade,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,,,,Yamaha,Yamaha
006Hp000015Yh7nIAC,0,001Hp00002g1VGlIAM,0,GenePoint Standby Generator,,Closed Won,9,85000,100,85000,,2023-08-28 00:00:00,New Customer,,Partner,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Completed,830150301420,908676,Honda,Honda
006Hp000015Yh7oIAC,0,001Hp00002g1VGgIAM,0,United Oil Refinery Generators,,Proposal/Price Quote,7,270000,75,202500,,2023-10-09 00:00:00,Existing Customer - Upgrade,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Yet to begin,,,Caterpillar,John Deere
006Hp000015Yh7pIAC,0,001Hp00002g1VGhIAM,0,Express Logistics Standby Generator,,Closed Won,9,220000,100,220000,,2023-07-21 00:00:00,New Customer,,Trade Show,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,,830150301420,653276,Hawkpower,Fujitsu
006Hp000015Yh7qIAC,0,001Hp00002g1VGfIAM,0,Grand Hotels Kitchen Generator,,Id. Decision Makers,5,15000,60,9000,,2023-07-16 00:00:00,Existing Customer - Upgrade,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Yet to begin,,,John Deere,"Fujitsu, Hawkpower"
006Hp000015Yh7rIAC,0,001Hp00002g1VGfIAM,0,Grand Hotels Guest Portable Generators,,Value Proposition,4,250000,50,125000,,2023-10-24 00:00:00,Existing Customer - Upgrade,,Employee Referral,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Yet to begin,,,Honda,Honda
006Hp000015Yh7sIAC,0,001Hp00002g1VGbIAM,0,Edge Emergency Generator,,Closed Won,9,75000,100,75000,,2023-10-24 00:00:00,New Customer,,Word of mouth,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Completed,830150301420,731645,John Deere,John Deere
006Hp000015Yh7tIAC,0,001Hp00002g1VGiIAM,0,University of AZ Portable Generators,,Closed Won,9,50000,100,50000,,2023-07-25 00:00:00,New Customer,,Public Relations,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Completed,830150301360,768934,Mitsubishi,"Honda, Mitsubishi"
006Hp000015Yh7uIAC,0,001Hp00002g1VGdIAM,0,Pyramid Emergency Generators,,Prospecting,1,100000,10,10000,,2023-09-02 00:00:00,,,Phone Inquiry,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,,,,,
006Hp000015Yh7vIAC,0,001Hp00002g1VGhIAM,0,Express Logistics Portable Truck Generators,,Value Proposition,4,80000,50,40000,,2023-07-19 00:00:00,Existing Customer - Upgrade,,External Referral,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Yet to begin,,,Fujitsu,Honda
006Hp000015Yh7wIAC,0,001Hp00002g1VGgIAM,0,United Oil Installations,,Negotiation/Review,8,270000,90,243000,,2023-08-21 00:00:00,Existing Customer - Upgrade,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Yet to begin,,,,
006Hp000015Yh7xIAC,0,001Hp00002g1VGbIAM,0,Edge Installation,,Closed Won,9,50000,100,50000,,2023-08-15 00:00:00,Existing Customer - Upgrade,,Word of mouth,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Completed,,835178,,
006Hp000015Yh7yIAC,0,001Hp00002g1VGbIAM,0,Edge SLA,,Closed Won,9,60000,100,60000,,2023-07-11 00:00:00,Existing Customer - Upgrade,,Word of mouth,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,,,847564,,
006Hp000015Yh7zIAC,0,001Hp00002g1VGgIAM,0,United Oil Installations,,Closed Won,9,270000,100,270000,,2023-08-20 00:00:00,Existing Customer - Upgrade,,Partner,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,In progress,,427609,,
006Hp000015Yh80IAC,0,001Hp00002g1VGfIAM,0,Grand Hotels Generator Installations,,Closed Won,9,350000,100,350000,,2023-10-07 00:00:00,Existing Customer - Upgrade,,External Referral,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Completed,,763546,,
006Hp000015Yh81IAC,0,001Hp00002g1VGgIAM,0,United Oil Refinery Generators,,Closed Won,9,915000,100,915000,,2023-10-02 00:00:00,New Customer,,Partner,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Completed,830150301360,744343,John Deere,"John Deere, Mitsubishi, Hawkpower"
