opportunity_history_id,opportunityid,createdbyid,createddate,createddateforinsert,stagename,amount,expectedrevenue,closedate,probability,fromforecastcategory,forecastcategory,prevforecastupdate,fromopportunitystagename,prevopportunitystageupdate,validthroughdate,systemmodstamp,isdeleted,prevamount,prevclosedate
008Hp00002evx1TIAQ,006Hp000015Yh7kIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Qualification,15000,1500,2018-10-01 00:00:00,10,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1UIAQ,006Hp000015Yh7mIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Negotiation/Review,125000,112500,2018-10-01 00:00:00,90,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1VIAQ,006Hp000015Yh7pIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Closed Won,220000,220000,2018-10-01 00:00:00,100,,Closed,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1WIAQ,006Hp000015Yh7nIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Closed Won,85000,85000,2018-10-01 00:00:00,100,,Closed,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1XIAQ,006Hp000015Yh7qIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Id. Decision Makers,15000,9000,2018-10-01 00:00:00,60,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1YIAQ,006Hp000015Yh7oIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Proposal/Price Quote,270000,202500,2018-10-01 00:00:00,75,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1ZIAQ,006Hp000015Yh7lIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Closed Won,120000,120000,2018-10-01 00:00:00,100,,Closed,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1aIAA,006Hp000015Yh7rIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Value Proposition,250000,125000,2018-10-01 00:00:00,50,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1bIAA,006Hp000015Yh7sIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Closed Won,75000,75000,2018-10-01 00:00:00,100,,Closed,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1cIAA,006Hp000015Yh7tIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Closed Won,50000,50000,2018-10-01 00:00:00,100,,Closed,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1dIAA,006Hp000015Yh7uIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Prospecting,100000,10000,2018-10-01 00:00:00,10,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1eIAA,006Hp000015Yh7vIAC,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Value Proposition,80000,40000,2018-10-01 00:00:00,50,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1fIAA,006Hp000015Yh8DIAS,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Id. Decision Makers,60000,36000,2018-10-01 00:00:00,60,,Pipeline,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
008Hp00002evx1gIAA,006Hp000015Yh8EIAS,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,Closed Won,30000,30000,2018-10-01 00:00:00,100,,Closed,,,,2025-04-08 00:19:44,2023-10-28 20:45:25,0,,
