pricebook_entry_id,pricebook2id,product2id,unitprice,isactive,usestandardprice,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,isdeleted,isarchived
01uHp00000Pok4xIAB,01sHp000009XyZ4IAK,01tHp000009xIetIAE,25000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok4yIAB,01sHp000009XyZ4IAK,01tHp000009xIeuIAE,5000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok4zIAB,01sHp000009XyZ4IAK,01tHp000009xIevIAE,85000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok50IAB,01sHp000009XyZ4IAK,01tHp000009xIewIAE,20000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok51IAB,01sHp000009XyZ4IAK,01tHp000009xIexIAE,50000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok52IAB,01sHp000009XyZ4IAK,01tHp000009xIeyIAE,40000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok53IAB,01sHp000009XyZ4IAK,01tHp000009xIezIAE,15000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok54IAB,01sHp000009XyZ4IAK,01tHp000009xIf0IAE,120000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok55IAB,01sHp000009XyZ4IAK,01tHp000009xIesIAE,100000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok56IAB,01sHp000009XyZ4IAK,01tHp000009xIf1IAE,10000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok57IAB,01sHp000009XyZ4IAK,01tHp000009xIf2IAE,75000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok58IAB,01sHp000009XyZ4IAK,01tHp000009xIf3IAE,5000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok59IAB,01sHp000009XyZ4IAK,01tHp000009xIf4IAE,30000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
